ICDNames,ICDCode
Cholera,1A00
Intestinal infection due to other Vibrio,1A01
Intestinal infections due to Shigella,1A02
Intestinal infections due to Escherichia coli,1A03
Enteropathogenic Escherichia coli infection,1A03.0
Enterotoxigenic Escherichia coli infection,1A03.1
Enteroinvasive Escherichia coli infection,1A03.2
Enterohaemorrhagic Escherichia coli infection,1A03.3
Intestinal infections due to other specified Escherichia coli,1A03.Y
"Intestinal infections due to Escherichia coli, unspecified",1A03.Z
Intestinal infections due to Clostridioides difficile,1A04
Intestinal infections due to Yersinia enterocolitica,1A05
Gastroenteritis due to Campylobacter,1A06
Typhoid fever,1A07
Typhoid peritonitis,1A07.0
Other specified typhoid fever,1A07.Y
"Typhoid fever, unspecified",1A07.Z
Paratyphoid fever,1A08
Infections due to other Salmonella,1A09
Salmonella enteritis,1A09.0
Infections due to other Salmonella in other organs,1A09.Y
"Salmonella infection, unspecified",1A09.Z
Other specified bacterial intestinal infections,1A0Y
"Bacterial intestinal infections, unspecified",1A0Z
Foodborne staphylococcal intoxication,1A10
Botulism,1A11
Foodborne intoxication by botulinum toxin,1A11.0
Other forms of botulism,1A11.1
"Botulism, unspecified",1A11.Z
Foodborne Clostridium perfringens intoxication,1A12
Foodborne Bacillus cereus intoxication,1A13
Other specified bacterial foodborne intoxications,1A1Y
"Bacterial foodborne intoxications, unspecified",1A1Z
Enteritis due to Adenovirus,1A20
Gastroenteritis due to Astrovirus,1A21
Gastroenteritis due to Rotavirus,1A22
Enteritis due to Norovirus,1A23
Intestinal infections due to Cytomegalovirus,1A24
Other specified viral intestinal infections,1A2Y
"Viral intestinal infections, unspecified",1A2Z
Infections due to Balantidium coli,1A30
Giardiasis,1A31
Cryptosporidiosis,1A32
Cystoisosporiasis,1A33
Cystoisosporiasis of small intestine,1A33.0
Cystoisosporiasis of colon,1A33.1
Other specified cystoisosporiasis,1A33.Y
"Cystoisosporiasis, unspecified",1A33.Z
Sarcocystosis,1A34
Blastocystosis,1A35
Amoebiasis,1A36
Intestinal infections due to Entamoeba,1A36.0
Extraintestinal infections due to Entamoeba,1A36.1
"Amoebiasis, unspecified",1A36.Z
Other specified protozoal intestinal infections,1A3Y
"Protozoal intestinal infections, unspecified",1A3Z
Gastroenteritis or colitis without specification of infectious agent,1A40
Gastroenteritis or colitis without specification of origin,1A40.0
Infectious gastroenteritis or colitis without specification of infectious agent,1A40.Z
Congenital syphilis,1A60
"Early congenital syphilis, symptomatic",1A60.0
"Early congenital syphilis, latent",1A60.1
Late congenital syphilitic oculopathy,1A60.2
Late congenital neurosyphilis,1A60.3
"Other late congenital syphilis, symptomatic",1A60.4
"Late congenital syphilis, latent",1A60.5
"Congenital syphilis, unspecified",1A60.Z
Early syphilis,1A61
Primary genital syphilis,1A61.0
Primary anal syphilis,1A61.1
Primary syphilis of other sites,1A61.2
Secondary syphilis of skin or mucous membranes,1A61.3
Secondary syphilis of other sites,1A61.4
Latent early syphilis,1A61.5
Other specified early syphilis,1A61.Y
"Early syphilis, unspecified",1A61.Z
Late syphilis,1A62
Neurosyphilis,1A62.0
Cardiovascular late syphilis,1A62.1
Symptomatic late syphilis of other sites,1A62.2
Other specified late syphilis,1A62.Y
"Late syphilis, unspecified",1A62.Z
"Latent syphilis, unspecified as early or late",1A63
"Syphilis, unspecified",1A6Z
Gonococcal genitourinary infection,1A70
Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,1A70.0
Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess,1A70.1
Gonococcal infection of other specified genitourinary organ,1A70.Y
"Gonococcal genitourinary infection, unspecified",1A70.Z
Gonococcal pelviperitonitis,1A71
Gonococcal infection of other sites,1A72
Gonococcal infection of musculoskeletal system,1A72.0
Gonococcal infection of rectum,1A72.1
Gonococcal infection of anus,1A72.2
Gonococcal pharyngitis,1A72.3
Gonococcal infection of eye,1A72.4
Gonococcal infection of other specified sites,1A72.Y
Disseminated gonococcal infection,1A73
"Gonococcal infection, unspecified",1A7Z
Chlamydial lymphogranuloma,1A80
Non-ulcerative sexually transmitted chlamydial infection,1A81
Chlamydial infection of lower genitourinary tract,1A81.0
Chlamydial infection of internal reproductive organs,1A81.1
Non-ulcerative sexually transmitted chlamydial infection of other specified site,1A81.Y
Non-ulcerative sexually transmitted chlamydial infection of unspecified site,1A81.Z
Other specified sexually transmissible infections due to chlamydia,1A8Y
"Sexually transmissible infections due to chlamydia, unspecified",1A8Z
Chancroid,1A90
Granuloma inguinale,1A91
Trichomoniasis,1A92
Sexually transmissible infestations,1A93
Anogenital herpes simplex infection,1A94
Herpes simplex infection of genitalia or urogenital tract,1A94.0
